,Dataset,Classifier,Training accuracy,Validation accuracy,Classifier object
158,"['TFIDF', 'lemmatize', 'english', (2, 2)]",xgboost,0.48637973304276766,0.49315628192032684,{'clf__n_estimators': 1000}
159,"['TFIDF', 'lemmatize', 'english', (2, 2)]",knn,0.40350040860800873,0.4034729315628192,{'clf__n_neighbors': 50}
160,"['TFIDF', 'lemmatize', 'english', (2, 2)]",nb,0.6097112503405067,0.6198161389172625,"{'clf__alpha': 1, 'clf__fit_prior': False}"
161,"['TFIDF', 'lemmatize', 'english', (2, 2)]",svm,0.5957504767093436,0.6083758937691522,"{'clf__C': 10, 'clf__kernel': 'linear'}"
162,"['TFIDF', 'lemmatize', None, (1, 1)]",randomforests,0.6968809588667938,0.7019407558733401,{'clf__n_estimators': 1000}
163,"['TFIDF', 'lemmatize', None, (1, 1)]",logreg,0.8201443748297467,0.8322778345250256,"{'clf__C': 10, 'clf__penalty': 'l2'}"
164,"['TFIDF', 'lemmatize', None, (1, 1)]",xgboost,0.7482974666303459,0.7540347293156282,{'clf__n_estimators': 1000}
165,"['TFIDF', 'lemmatize', None, (1, 1)]",knn,0.7076409697630074,0.7284984678243105,{'clf__n_neighbors': 50}
166,"['TFIDF', 'lemmatize', None, (1, 1)]",nb,0.8217788068646146,0.8310520939734423,"{'clf__alpha': 1, 'clf__fit_prior': False}"
167,"['TFIDF', 'lemmatize', None, (1, 1)]",svm,0.8086352492508854,0.8243105209397344,"{'clf__C': 1, 'clf__kernel': 'linear'}"
168,"['TFIDF', 'lemmatize', None, (1, 2)]",randomforests,0.6720239716698447,0.6827374872318692,{'clf__n_estimators': 1000}
169,"['TFIDF', 'lemmatize', None, (1, 2)]",logreg,0.8232770362299101,0.8429009193054137,"{'clf__C': 100, 'clf__penalty': 'l2'}"
170,"['TFIDF', 'lemmatize', None, (1, 2)]",xgboost,0.7453010078997548,0.7534218590398366,{'clf__n_estimators': 1000}
171,"['TFIDF', 'lemmatize', None, (1, 2)]",knn,0.7141105965676927,0.7262512768130746,{'clf__n_neighbors': 50}
172,"['TFIDF', 'lemmatize', None, (1, 2)]",nb,0.8048896758376464,0.8134831460674158,"{'clf__alpha': 0, 'clf__fit_prior': True}"
173,"['TFIDF', 'lemmatize', None, (1, 2)]",svm,0.8247752655952056,0.8361593462717059,"{'clf__C': 10, 'clf__kernel': 'linear'}"
174,"['TFIDF', 'lemmatize', None, (2, 2)]",randomforests,0.5788613456823754,0.59244126659857,{'clf__n_estimators': 500}
175,"['TFIDF', 'lemmatize', None, (2, 2)]",logreg,0.739444293108145,0.7622063329928499,"{'clf__C': 100, 'clf__penalty': 'l2'}"
